person_id,full_name,slug,jersey,position,height,weight,birth_date,age,experience,school,season,team_id,team_abbrev,team_name,height_inches,headshot_url,team_logo_url
200794,Paul Millsap,paul-millsap,4,F,6-8,246,"FEB 10, 1985",32.0,10,Louisiana Tech,2016-17,1610612737,ATL,Atlanta Hawks,80.0,https://cdn.nba.com/headshots/nba/latest/1040x760/200794.png,https://cdn.nba.com/logos/nba/1610612737/primary/L/logo.svg
203527,Ryan Kelly,ryan-kelly,30,F,6-11,230,"APR 09, 1991",26.0,3,Duke,2016-17,1610612737,ATL,Atlanta Hawks,83.0,https://cdn.nba.com/headshots/nba/latest/1040x760/203527.png,https://cdn.nba.com/logos/nba/1610612737/primary/L/logo.svg
1627752,Taurean Prince,taurean-prince,12,F,6-8,220,"MAR 22, 1994",23.0,R,Baylor,2016-17,1610612737,ATL,Atlanta Hawks,80.0,https://cdn.nba.com/headshots/nba/latest/1040x760/1627752.png,https://cdn.nba.com/logos/nba/1610612737/primary/L/logo.svg
200757,Thabo Sefolosha,thabo-sefolosha,25,F,6-7,220,"MAY 02, 1984",33.0,10,Angelico Biella,2016-17,1610612737,ATL,Atlanta Hawks,79.0,https://cdn.nba.com/headshots/nba/latest/1040x760/200757.png,https://cdn.nba.com/logos/nba/1610612737/primary/L/logo.svg
203501,Tim Hardaway Jr.,tim-hardaway-jr,10,G,6-6,205,"MAR 16, 1992",25.0,3,Michigan,2016-17,1610612737,ATL,Atlanta Hawks,78.0,https://cdn.nba.com/headshots/nba/latest/1040x760/203501.png,https://cdn.nba.com/logos/nba/1610612737/primary/L/logo.svg
203094,Andrew Nicholson,andrew-nicholson,44,F,6-9,250,"DEC 08, 1989",27.0,4,St. Bonaventure,2016-17,1610612751,BKN,Brooklyn Nets,81.0,https://cdn.nba.com/headshots/nba/latest/1040x760/203094.png,https://cdn.nba.com/logos/nba/1610612751/primary/L/logo.svg
203462,Archie Goodwin,archie-goodwin,10,G,6-5,205,"AUG 17, 1994",22.0,3,Kentucky,2016-17,1610612751,BKN,Brooklyn Nets,77.0,https://cdn.nba.com/headshots/nba/latest/1040x760/203462.png,https://cdn.nba.com/logos/nba/1610612751/primary/L/logo.svg
201572,Brook Lopez,brook-lopez,11,C,7-0,268,"APR 01, 1988",29.0,8,Stanford,2016-17,1610612751,BKN,Brooklyn Nets,84.0,https://cdn.nba.com/headshots/nba/latest/1040x760/201572.png,https://cdn.nba.com/logos/nba/1610612751/primary/L/logo.svg
1627747,Caris LeVert,caris-levert,22,G-F,6-7,203,"AUG 25, 1994",22.0,R,Michigan,2016-17,1610612751,BKN,Brooklyn Nets,79.0,https://cdn.nba.com/headshots/nba/latest/1040x760/1627747.png,https://cdn.nba.com/logos/nba/1610612751/primary/L/logo.svg
1627785,Isaiah Whitehead,isaiah-whitehead,15,G,6-4,213,"MAR 08, 1995",22.0,R,Seton Hall,2016-17,1610612751,BKN,Brooklyn Nets,76.0,https://cdn.nba.com/headshots/nba/latest/1040x760/1627785.png,https://cdn.nba.com/logos/nba/1610612751/primary/L/logo.svg
202391,Jeremy Lin,jeremy-lin,7,G,6-3,200,"AUG 23, 1988",28.0,6,Harvard,2016-17,1610612751,BKN,Brooklyn Nets,75.0,https://cdn.nba.com/headshots/nba/latest/1040x760/202391.png,https://cdn.nba.com/logos/nba/1610612751/primary/L/logo.svg
203925,Joe Harris,joe-harris,12,F-G,6-6,219,"SEP 06, 1991",25.0,2,Virginia,2016-17,1610612751,BKN,Brooklyn Nets,78.0,https://cdn.nba.com/headshots/nba/latest/1040x760/203925.png,https://cdn.nba.com/logos/nba/1610612751/primary/L/logo.svg
203120,Justin Hamilton,justin-hamilton,41,C,7-0,255,"APR 01, 1990",27.0,2,Louisiana State,2016-17,1610612751,BKN,Brooklyn Nets,84.0,https://cdn.nba.com/headshots/nba/latest/1040x760/203120.png,https://cdn.nba.com/logos/nba/1610612751/primary/L/logo.svg
203909,KJ McDaniels,kj-mcdaniels,14,G-F,6-6,205,"FEB 09, 1993",24.0,2,Clemson,2016-17,1610612751,BKN,Brooklyn Nets,78.0,https://cdn.nba.com/headshots/nba/latest/1040x760/203909.png,https://cdn.nba.com/logos/nba/1610612751/primary/L/logo.svg
203112,Quincy Acy,quincy-acy,13,F,6-7,240,"OCT 06, 1990",26.0,4,Baylor,2016-17,1610612751,BKN,Brooklyn Nets,79.0,https://cdn.nba.com/headshots/nba/latest/1040x760/203112.png,https://cdn.nba.com/logos/nba/1610612751/primary/L/logo.svg
200751,Randy Foye,randy-foye,2,G,6-4,218,"SEP 24, 1983",33.0,10,Villanova,2016-17,1610612751,BKN,Brooklyn Nets,76.0,https://cdn.nba.com/headshots/nba/latest/1040x760/200751.png,https://cdn.nba.com/logos/nba/1610612751/primary/L/logo.svg
1626178,Rondae Hollis-Jefferson,rondae-hollis-jefferson,24,F,6-7,214,"JAN 03, 1995",22.0,1,Arizona,2016-17,1610612751,BKN,Brooklyn Nets,79.0,https://cdn.nba.com/headshots/nba/latest/1040x760/1626178.png,https://cdn.nba.com/logos/nba/1610612751/primary/L/logo.svg
203930,Sean Kilpatrick,sean-kilpatrick,6,G,6-4,219,"JAN 06, 1990",27.0,2,Cincinnati,2016-17,1610612751,BKN,Brooklyn Nets,76.0,https://cdn.nba.com/headshots/nba/latest/1040x760/203930.png,https://cdn.nba.com/logos/nba/1610612751/primary/L/logo.svg
203915,Spencer Dinwiddie,spencer-dinwiddie,8,G,6-6,200,"APR 06, 1993",24.0,2,Colorado,2016-17,1610612751,BKN,Brooklyn Nets,78.0,https://cdn.nba.com/headshots/nba/latest/1040x760/203915.png,https://cdn.nba.com/logos/nba/1610612751/primary/L/logo.svg
202344,Trevor Booker,trevor-booker,35,F,6-8,228,"NOV 25, 1987",29.0,6,Clemson,2016-17,1610612751,BKN,Brooklyn Nets,80.0,https://cdn.nba.com/headshots/nba/latest/1040x760/202344.png,https://cdn.nba.com/logos/nba/1610612751/primary/L/logo.svg
201143,Al Horford,al-horford,42,C,6-10,245,"JUN 03, 1986",31.0,9,Florida,2016-17,1610612738,BOS,Boston Celtics,82.0,https://cdn.nba.com/headshots/nba/latest/1040x760/201143.png,https://cdn.nba.com/logos/nba/1610612738/primary/L/logo.svg
101161,Amir Johnson,amir-johnson,90,F,6-9,240,"MAY 01, 1987",30.0,11,Westchester HS (CA),2016-17,1610612738,BOS,Boston Celtics,81.0,https://cdn.nba.com/headshots/nba/latest/1040x760/101161.png,https://cdn.nba.com/logos/nba/1610612738/primary/L/logo.svg
202340,Avery Bradley,avery-bradley,0,G,6-2,180,"NOV 26, 1990",26.0,6,University of Texas at Austin,2016-17,1610612738,BOS,Boston Celtics,74.0,https://cdn.nba.com/headshots/nba/latest/1040x760/202340.png,https://cdn.nba.com/logos/nba/1610612738/primary/L/logo.svg
1627743,Demetrius Jackson,demetrius-jackson,9,G,6-1,201,"SEP 07, 1994",22.0,R,Notre Dame,2016-17,1610612738,BOS,Boston Celtics,73.0,https://cdn.nba.com/headshots/nba/latest/1040x760/1627743.png,https://cdn.nba.com/logos/nba/1610612738/primary/L/logo.svg
101123,Gerald Green,gerald-green,30,F,6-7,205,"JAN 26, 1986",31.0,9,No College,2016-17,1610612738,BOS,Boston Celtics,79.0,https://cdn.nba.com/headshots/nba/latest/1040x760/101123.png,https://cdn.nba.com/logos/nba/1610612738/primary/L/logo.svg
202738,Isaiah Thomas,isaiah-thomas,4,G,5-9,185,"FEB 07, 1989",28.0,5,Washington,2016-17,1610612738,BOS,Boston Celtics,69.0,https://cdn.nba.com/headshots/nba/latest/1040x760/202738.png,https://cdn.nba.com/logos/nba/1610612738/primary/L/logo.svg
203109,Jae Crowder,jae-crowder,99,F,6-6,235,"JUL 06, 1990",26.0,4,Marquette,2016-17,1610612738,BOS,Boston Celtics,78.0,https://cdn.nba.com/headshots/nba/latest/1040x760/203109.png,https://cdn.nba.com/logos/nba/1610612738/primary/L/logo.svg
203923,James Young,james-young,13,G-F,6-6,215,"AUG 16, 1995",21.0,2,Kentucky,2016-17,1610612738,BOS,Boston Celtics,78.0,https://cdn.nba.com/headshots/nba/latest/1040x760/203923.png,https://cdn.nba.com/logos/nba/1610612738/primary/L/logo.svg
1627759,Jaylen Brown,jaylen-brown,7,F,6-7,225,"OCT 24, 1996",20.0,R,California,2016-17,1610612738,BOS,Boston Celtics,79.0,https://cdn.nba.com/headshots/nba/latest/1040x760/1627759.png,https://cdn.nba.com/logos/nba/1610612738/primary/L/logo.svg
201973,Jonas Jerebko,jonas-jerebko,8,F,6-10,231,"MAR 02, 1987",30.0,6,Angelico Biella,2016-17,1610612738,BOS,Boston Celtics,82.0,https://cdn.nba.com/headshots/nba/latest/1040x760/201973.png,https://cdn.nba.com/logos/nba/1610612738/primary/L/logo.svg
1626175,Jordan Mickey,jordan-mickey,55,F,6-8,235,"JUL 09, 1994",22.0,1,Louisiana State,2016-17,1610612738,BOS,Boston Celtics,80.0,https://cdn.nba.com/headshots/nba/latest/1040x760/1626175.png,https://cdn.nba.com/logos/nba/1610612738/primary/L/logo.svg
203482,Kelly Olynyk,kelly-olynyk,41,C-F,7-0,238,"APR 19, 1991",26.0,3,Gonzaga,2016-17,1610612738,BOS,Boston Celtics,84.0,https://cdn.nba.com/headshots/nba/latest/1040x760/203482.png,https://cdn.nba.com/logos/nba/1610612738/primary/L/logo.svg
203935,Marcus Smart,marcus-smart,36,G,6-4,220,"MAR 06, 1994",23.0,2,Oklahoma State,2016-17,1610612738,BOS,Boston Celtics,76.0,https://cdn.nba.com/headshots/nba/latest/1040x760/203935.png,https://cdn.nba.com/logos/nba/1610612738/primary/L/logo.svg
1626179,Terry Rozier,terry-rozier,12,G,6-2,190,"MAR 17, 1994",23.0,1,Louisville,2016-17,1610612738,BOS,Boston Celtics,74.0,https://cdn.nba.com/headshots/nba/latest/1040x760/1626179.png,https://cdn.nba.com/logos/nba/1610612738/primary/L/logo.svg
203092,Tyler Zeller,tyler-zeller,44,C,7-0,253,"JAN 17, 1990",27.0,4,North Carolina,2016-17,1610612738,BOS,Boston Celtics,84.0,https://cdn.nba.com/headshots/nba/latest/1040x760/203092.png,https://cdn.nba.com/logos/nba/1610612738/primary/L/logo.svg
203148,Brian Roberts,brian-roberts,22,G,6-1,173,"DEC 03, 1985",31.0,4,Dayton,2016-17,1610612766,CHA,Charlotte Hornets,73.0,https://cdn.nba.com/headshots/nba/latest/1040x760/203148.png,https://cdn.nba.com/logos/nba/1610612766/primary/L/logo.svg
1627362,Briante Weber,briante-weber,0,G,6-2,165,"DEC 29, 1992",24.0,1,Virginia Commonwealth,2016-17,1610612766,CHA,Charlotte Hornets,74.0,https://cdn.nba.com/headshots/nba/latest/1040x760/1627362.png,https://cdn.nba.com/logos/nba/1610612766/primary/L/logo.svg
1626174,Christian Wood,christian-wood,35,F,6-11,220,"SEP 27, 1995",21.0,1,UNLV,2016-17,1610612766,CHA,Charlotte Hornets,83.0,https://cdn.nba.com/headshots/nba/latest/1040x760/1626174.png,https://cdn.nba.com/logos/nba/1610612766/primary/L/logo.svg
203469,Cody Zeller,cody-zeller,40,C,7-0,240,"OCT 05, 1992",24.0,3,Indiana,2016-17,1610612766,CHA,Charlotte Hornets,84.0,https://cdn.nba.com/headshots/nba/latest/1040x760/203469.png,https://cdn.nba.com/logos/nba/1610612766/primary/L/logo.svg
1626163,Frank Kaminsky,frank-kaminsky,44,C,7-0,240,"APR 04, 1993",24.0,1,Wisconsin,2016-17,1610612766,CHA,Charlotte Hornets,84.0,https://cdn.nba.com/headshots/nba/latest/1040x760/1626163.png,https://cdn.nba.com/logos/nba/1610612766/primary/L/logo.svg
203087,Jeremy Lamb,jeremy-lamb,3,G,6-5,185,"MAY 30, 1992",25.0,4,Connecticut,2016-17,1610612766,CHA,Charlotte Hornets,77.0,https://cdn.nba.com/headshots/nba/latest/1040x760/203087.png,https://cdn.nba.com/logos/nba/1610612766/primary/L/logo.svg
203948,Johnny O'Bryant III,johnny-obryant-iii,8,F-C,6-9,257,"JUN 01, 1993",24.0,2,Louisiana State,2016-17,1610612766,CHA,Charlotte Hornets,81.0,https://cdn.nba.com/headshots/nba/latest/1040x760/203948.png,https://cdn.nba.com/logos/nba/1610612766/primary/L/logo.svg
202689,Kemba Walker,kemba-walker,15,G,6-1,184,"MAY 08, 1990",27.0,5,Connecticut,2016-17,1610612766,CHA,Charlotte Hornets,73.0,https://cdn.nba.com/headshots/nba/latest/1040x760/202689.png,https://cdn.nba.com/logos/nba/1610612766/primary/L/logo.svg
201158,Marco Belinelli,marco-belinelli,21,G-F,6-5,210,"MAR 25, 1986",31.0,9,Fortitudo Bologna,2016-17,1610612766,CHA,Charlotte Hornets,77.0,https://cdn.nba.com/headshots/nba/latest/1040x760/201158.png,https://cdn.nba.com/logos/nba/1610612766/primary/L/logo.svg
101107,Marvin Williams,marvin-williams,2,F,6-9,237,"JUN 19, 1986",31.0,11,North Carolina,2016-17,1610612766,CHA,Charlotte Hornets,81.0,https://cdn.nba.com/headshots/nba/latest/1040x760/101107.png,https://cdn.nba.com/logos/nba/1610612766/primary/L/logo.svg
203077,Michael Kidd-Gilchrist,michael-kidd-gilchrist,14,F,6-7,232,"SEP 26, 1993",23.0,4,Kentucky,2016-17,1610612766,CHA,Charlotte Hornets,79.0,https://cdn.nba.com/headshots/nba/latest/1040x760/203077.png,https://cdn.nba.com/logos/nba/1610612766/primary/L/logo.svg
203101,Miles Plumlee,miles-plumlee,18,C,6-11,249,"SEP 01, 1988",28.0,4,Duke,2016-17,1610612766,CHA,Charlotte Hornets,83.0,https://cdn.nba.com/headshots/nba/latest/1040x760/203101.png,https://cdn.nba.com/logos/nba/1610612766/primary/L/logo.svg
201587,Nicolas Batum,nicolas-batum,5,G,6-8,200,"DEC 14, 1988",28.0,8,Le Mans,2016-17,1610612766,CHA,Charlotte Hornets,80.0,https://cdn.nba.com/headshots/nba/latest/1040x760/201587.png,https://cdn.nba.com/logos/nba/1610612766/primary/L/logo.svg
201196,Ramon Sessions,ramon-sessions,7,G,6-3,190,"APR 11, 1986",31.0,9,Nevada-Reno,2016-17,1610612766,CHA,Charlotte Hornets,75.0,https://cdn.nba.com/headshots/nba/latest/1040x760/201196.png,https://cdn.nba.com/logos/nba/1610612766/primary/L/logo.svg
1626203,Treveon Graham,treveon-graham,12,G-F,6-6,226,"OCT 28, 1993",23.0,R,Va Commonwealth,2016-17,1610612766,CHA,Charlotte Hornets,78.0,https://cdn.nba.com/headshots/nba/latest/1040x760/1626203.png,https://cdn.nba.com/logos/nba/1610612766/primary/L/logo.svg
201627,Anthony Morrow,anthony-morrow,11,G,6-5,210,"SEP 27, 1985",31.0,8,Georgia Tech,2016-17,1610612741,CHI,Chicago Bulls,77.0,https://cdn.nba.com/headshots/nba/latest/1040x760/201627.png,https://cdn.nba.com/logos/nba/1610612741/primary/L/logo.svg
1626171,Bobby Portis,bobby-portis,5,F,6-11,246,"FEB 10, 1995",22.0,1,Arkansas,2016-17,1610612741,CHI,Chicago Bulls,83.0,https://cdn.nba.com/headshots/nba/latest/1040x760/1626171.png,https://cdn.nba.com/logos/nba/1610612741/primary/L/logo.svg
1626166,Cameron Payne,cameron-payne,22,G,6-3,185,"AUG 08, 1994",22.0,1,Murray State,2016-17,1610612741,CHI,Chicago Bulls,75.0,https://cdn.nba.com/headshots/nba/latest/1040x760/1626166.png,https://cdn.nba.com/logos/nba/1610612741/primary/L/logo.svg
1626245,Cristiano Felicio,cristiano-felicio,6,F-C,6-9,266,"JUL 07, 1992",24.0,1,Flamengo,2016-17,1610612741,CHI,Chicago Bulls,81.0,https://cdn.nba.com/headshots/nba/latest/1040x760/1626245.png,https://cdn.nba.com/logos/nba/1610612741/primary/L/logo.svg
1627756,Denzel Valentine,denzel-valentine,45,G,6-6,212,"NOV 16, 1993",23.0,R,Michigan State,2016-17,1610612741,CHI,Chicago Bulls,78.0,https://cdn.nba.com/headshots/nba/latest/1040x760/1627756.png,https://cdn.nba.com/logos/nba/1610612741/primary/L/logo.svg
2548,Dwyane Wade,dwyane-wade,3,G,6-4,220,"JAN 17, 1982",35.0,13,Marquette,2016-17,1610612741,CHI,Chicago Bulls,76.0,https://cdn.nba.com/headshots/nba/latest/1040x760/2548.png,https://cdn.nba.com/logos/nba/1610612741/primary/L/logo.svg
203477,Isaiah Canaan,isaiah-canaan,0,G,6-0,201,"MAY 21, 1991",26.0,3,Murray State,2016-17,1610612741,CHI,Chicago Bulls,72.0,https://cdn.nba.com/headshots/nba/latest/1040x760/203477.png,https://cdn.nba.com/logos/nba/1610612741/primary/L/logo.svg
1626170,Jerian Grant,jerian-grant,2,G,6-4,198,"OCT 09, 1992",24.0,1,Notre Dame,2016-17,1610612741,CHI,Chicago Bulls,76.0,https://cdn.nba.com/headshots/nba/latest/1040x760/1626170.png,https://cdn.nba.com/logos/nba/1610612741/primary/L/logo.svg
202710,Jimmy Butler III,jimmy-butler-iii,21,F,6-7,231,"SEP 14, 1989",27.0,5,Marquette,2016-17,1610612741,CHI,Chicago Bulls,79.0,https://cdn.nba.com/headshots/nba/latest/1040x760/202710.png,https://cdn.nba.com/logos/nba/1610612741/primary/L/logo.svg
203530,Joffrey Lauvergne,joffrey-lauvergne,77,C-F,6-11,220,"SEP 30, 1991",25.0,2,Khimki,2016-17,1610612741,CHI,Chicago Bulls,83.0,https://cdn.nba.com/headshots/nba/latest/1040x760/203530.png,https://cdn.nba.com/logos/nba/1610612741/primary/L/logo.svg
203487,Michael Carter-Williams,michael-carter-williams,7,G,6-6,190,"OCT 10, 1991",25.0,3,Syracuse,2016-17,1610612741,CHI,Chicago Bulls,78.0,https://cdn.nba.com/headshots/nba/latest/1040x760/203487.png,https://cdn.nba.com/logos/nba/1610612741/primary/L/logo.svg
202703,Nikola Mirotic,nikola-mirotic,44,F,6-10,238,"FEB 11, 1991",26.0,2,Real Madrid,2016-17,1610612741,CHI,Chicago Bulls,82.0,https://cdn.nba.com/headshots/nba/latest/1040x760/202703.png,https://cdn.nba.com/logos/nba/1610612741/primary/L/logo.svg
1627835,Paul Zipser,paul-zipser,16,F,6-8,210,"FEB 18, 1994",23.0,R,Bayern Munich,2016-17,1610612741,CHI,Chicago Bulls,80.0,https://cdn.nba.com/headshots/nba/latest/1040x760/1627835.png,https://cdn.nba.com/logos/nba/1610612741/primary/L/logo.svg
200765,Rajon Rondo,rajon-rondo,9,G,6-1,186,"FEB 22, 1986",31.0,10,Kentucky,2016-17,1610612741,CHI,Chicago Bulls,73.0,https://cdn.nba.com/headshots/nba/latest/1040x760/200765.png,https://cdn.nba.com/logos/nba/1610612741/primary/L/logo.svg
201577,Robin Lopez,robin-lopez,8,C,7-0,255,"APR 01, 1988",29.0,8,Stanford,2016-17,1610612741,CHI,Chicago Bulls,84.0,https://cdn.nba.com/headshots/nba/latest/1040x760/201577.png,https://cdn.nba.com/logos/nba/1610612741/primary/L/logo.svg
101112,Channing Frye,channing-frye,8,F,6-11,255,"MAY 17, 1983",34.0,10,Arizona,2016-17,1610612739,CLE,Cleveland Cavaliers,83.0,https://cdn.nba.com/headshots/nba/latest/1040x760/101112.png,https://cdn.nba.com/logos/nba/1610612739/primary/L/logo.svg
2563,Dahntay Jones,dahntay-jones,30,G-F,6-6,225,"DEC 27, 1980",36.0,12,Duke,2016-17,1610612739,CLE,Cleveland Cavaliers,78.0,https://cdn.nba.com/headshots/nba/latest/1040x760/2563.png,https://cdn.nba.com/logos/nba/1610612739/primary/L/logo.svg
101114,Deron Williams,deron-williams,31,G,6-3,200,"JUN 26, 1984",33.0,11,Illinois,2016-17,1610612739,CLE,Cleveland Cavaliers,75.0,https://cdn.nba.com/headshots/nba/latest/1040x760/101114.png,https://cdn.nba.com/logos/nba/1610612739/primary/L/logo.svg
202682,Derrick Williams,derrick-williams,3,F,6-8,240,"MAY 25, 1991",26.0,5,Arizona,2016-17,1610612739,CLE,Cleveland Cavaliers,80.0,https://cdn.nba.com/headshots/nba/latest/1040x760/202682.png,https://cdn.nba.com/logos/nba/1610612739/primary/L/logo.svg
204002,Edy Tavares,edy-tavares,40,C,7-3,265,"MAR 22, 1992",25.0,1,Gran Canaria,2016-17,1610612739,CLE,Cleveland Cavaliers,87.0,https://cdn.nba.com/headshots/nba/latest/1040x760/204002.png,https://cdn.nba.com/logos/nba/1610612739/primary/L/logo.svg
202697,Iman Shumpert,iman-shumpert,4,G,6-5,220,"JUN 26, 1990",27.0,5,Georgia Tech,2016-17,1610612739,CLE,Cleveland Cavaliers,77.0,https://cdn.nba.com/headshots/nba/latest/1040x760/202697.png,https://cdn.nba.com/logos/nba/1610612739/primary/L/logo.svg
2747,JR Smith,jr-smith,5,G,6-6,225,"SEP 09, 1985",31.0,12,No College,2016-17,1610612739,CLE,Cleveland Cavaliers,78.0,https://cdn.nba.com/headshots/nba/latest/1040x760/2747.png,https://cdn.nba.com/logos/nba/1610612739/primary/L/logo.svg
2592,James Jones,james-jones,1,G-F,6-8,218,"OCT 04, 1980",36.0,13,Miami,2016-17,1610612739,CLE,Cleveland Cavaliers,80.0,https://cdn.nba.com/headshots/nba/latest/1040x760/2592.png,https://cdn.nba.com/logos/nba/1610612739/primary/L/logo.svg
1627770,Kay Felder,kay-felder,20,G,5-9,176,"MAR 29, 1995",22.0,R,Oakland,2016-17,1610612739,CLE,Cleveland Cavaliers,69.0,https://cdn.nba.com/headshots/nba/latest/1040x760/1627770.png,https://cdn.nba.com/logos/nba/1610612739/primary/L/logo.svg
201567,Kevin Love,kevin-love,0,F,6-10,251,"SEP 07, 1988",28.0,8,UCLA,2016-17,1610612739,CLE,Cleveland Cavaliers,82.0,https://cdn.nba.com/headshots/nba/latest/1040x760/201567.png,https://cdn.nba.com/logos/nba/1610612739/primary/L/logo.svg
2594,Kyle Korver,kyle-korver,26,G,6-7,212,"MAR 17, 1981",36.0,13,Creighton,2016-17,1610612739,CLE,Cleveland Cavaliers,79.0,https://cdn.nba.com/headshots/nba/latest/1040x760/2594.png,https://cdn.nba.com/logos/nba/1610612739/primary/L/logo.svg
202681,Kyrie Irving,kyrie-irving,2,G,6-3,193,"MAR 23, 1992",25.0,5,Duke,2016-17,1610612739,CLE,Cleveland Cavaliers,75.0,https://cdn.nba.com/headshots/nba/latest/1040x760/202681.png,https://cdn.nba.com/logos/nba/1610612739/primary/L/logo.svg
2544,LeBron James,lebron-james,23,F,6-8,250,"DEC 30, 1984",32.0,13,St. Vincent-St. Mary HS (OH),2016-17,1610612739,CLE,Cleveland Cavaliers,80.0,https://cdn.nba.com/headshots/nba/latest/1040x760/2544.png,https://cdn.nba.com/logos/nba/1610612739/primary/L/logo.svg
2210,Richard Jefferson,richard-jefferson,24,F,6-7,233,"JUN 21, 1980",37.0,15,Arizona,2016-17,1610612739,CLE,Cleveland Cavaliers,79.0,https://cdn.nba.com/headshots/nba/latest/1040x760/2210.png,https://cdn.nba.com/logos/nba/1610612739/primary/L/logo.svg
202684,Tristan Thompson,tristan-thompson,13,C,6-9,238,"MAR 13, 1991",26.0,5,Texas-Austin,2016-17,1610612739,CLE,Cleveland Cavaliers,81.0,https://cdn.nba.com/headshots/nba/latest/1040x760/202684.png,https://cdn.nba.com/logos/nba/1610612739/primary/L/logo.svg
1627773,AJ Hammons,aj-hammons,20,C,7-0,260,"AUG 27, 1992",24.0,R,Purdue,2016-17,1610612742,DAL,Dallas Mavericks,84.0,https://cdn.nba.com/headshots/nba/latest/1040x760/1627773.png,https://cdn.nba.com/logos/nba/1610612742/primary/L/logo.svg
202732,DeAndre Liggins,deandre-liggins,14,G,6-6,209,"MAR 31, 1988",29.0,3,Kentucky,2016-17,1610612742,DAL,Dallas Mavericks,78.0,https://cdn.nba.com/headshots/nba/latest/1040x760/202732.png,https://cdn.nba.com/logos/nba/1610612742/primary/L/logo.svg
2734,Devin Harris,devin-harris,34,G,6-3,185,"FEB 27, 1983",34.0,12,Wisconsin,2016-17,1610612742,DAL,Dallas Mavericks,75.0,https://cdn.nba.com/headshots/nba/latest/1040x760/2734.png,https://cdn.nba.com/logos/nba/1610612742/primary/L/logo.svg
1717,Dirk Nowitzki,dirk-nowitzki,41,F,7-0,245,"JUN 19, 1978",39.0,18,DJK Wurzburg,2016-17,1610612742,DAL,Dallas Mavericks,84.0,https://cdn.nba.com/headshots/nba/latest/1040x760/1717.png,https://cdn.nba.com/logos/nba/1610612742/primary/L/logo.svg
1627827,Dorian Finney-Smith,dorian-finney-smith,10,F,6-8,220,"MAY 04, 1993",24.0,R,Florida,2016-17,1610612742,DAL,Dallas Mavericks,80.0,https://cdn.nba.com/headshots/nba/latest/1040x760/1627827.png,https://cdn.nba.com/logos/nba/1610612742/primary/L/logo.svg
